       X                  Y
1.7402362164E+000  1.7794907087E-001
1.7552527707E+000  1.7531226694E-001
1.7775397574E+000  1.7433295017E-001
1.7995507464E+000  1.7602668307E-001
1.8140763735E+000  1.7969450607E-001
1.8284866117E+000  1.8528479445E-001
1.8498915074E+000  1.9375605912E-001
1.8640248896E+000  2.0315396210E-001
1.8850262834E+000  2.1280849844E-001
1.9057962611E+000  2.2517718235E-001
1.9195180616E+000  2.3746693681E-001
1.9331424647E+000  2.4939110226E-001
1.9534009033E+000  2.6257675671E-001
1.9734513901E+000  2.7417736271E-001
1.9867059644E+000  2.8498536354E-001
2.0064236564E+000  2.9557973959E-001
2.0194618315E+000  3.0384261207E-001
2.0324163670E+000  3.1129181733E-001
2.0516948089E+000  3.1794890907E-001
2.0707937823E+000  3.2262689960E-001
2.0834291658E+000  3.2639747350E-001
2.1022398505E+000  3.2974907590E-001
2.1146873502E+000  3.3179819538E-001
2.1270620087E+000  3.3297943802E-001
2.1454901745E+000  3.3303048239E-001
2.1637613984E+000  3.3255035111E-001
2.1758569781E+000  3.3145635565E-001
2.1878856892E+000  3.3007772342E-001
2.2058057686E+000  3.2776944484E-001
2.2176720427E+000  3.2533563487E-001
2.2353533477E+000  3.2203292668E-001
2.2528958895E+000  3.1785695949E-001
2.2645154203E+000  3.1356414291E-001
2.2760756334E+000  3.0903825434E-001
2.2933066932E+000  3.0322366827E-001
2.3104092471E+000  2.9745279498E-001
2.3217409608E+000  2.9079322652E-001
2.3386355828E+000  2.8317526019E-001
2.3498311831E+000  2.7597597034E-001
2.3609736951E+000  2.6844059986E-001
2.3775895544E+000  2.6009344744E-001
2.3940900963E+000  2.5061525162E-001
2.4050275651E+000  2.4214989720E-001
2.4159155178E+000  2.3301786051E-001
2.4321560577E+000  2.2242930091E-001
2.4429231034E+000  2.1307866819E-001
2.4589852763E+000  2.0372873270E-001
2.4749432092E+000  1.9273558697E-001
2.4855249122E+000  1.8309796117E-001
2.4960617558E+000  1.7389097593E-001
2.5117841446E+000  1.6322228628E-001
2.5274087301E+000  1.5352467709E-001
2.5377716779E+000  1.4439533719E-001
2.5532372371E+000  1.3411255756E-001
2.5634957751E+000  1.2488387099E-001
2.5737134240E+000  1.1562201542E-001
2.5889642889E+000  1.0647469582E-001
2.6041258397E+000  9.5714280927E-002
2.6141846892E+000  8.6288641738E-002
2.6242049823E+000  7.6895669293E-002
2.6391640891E+000  6.6463764183E-002
2.6540388823E+000  5.6993546271E-002
2.6639092682E+000  4.7287050330E-002
2.6786466525E+000  3.6793022867E-002
2.6884266940E+000  2.7930253364E-002
2.6981712861E+000  1.8081550852E-002
2.7127225418E+000  7.1320069739E-003
2.7271961589E+000  -2.2307814545E-003
2.7368027128E+000  -1.1384335111E-002
2.7463756642E+000  -2.0969208202E-002
2.7606728508E+000  -3.2149366479E-002
2.7701633145E+000  -4.1599327440E-002
2.7843383575E+000  -5.0521989814E-002
2.7984416001E+000  -6.0195866043E-002
2.8078044072E+000  -6.7755362223E-002
2.8171360970E+000  -7.5166874305E-002
2.8310759596E+000  -8.3807180439E-002
2.8449475196E+000  -9.1641247310E-002
2.8541577723E+000  -9.8807755552E-002
2.8633383993E+000  -1.0561015798E-001
2.8770544119E+000  -1.1319876799E-001
2.8861622077E+000  -1.1951196123E-001
2.8997702649E+000  -1.2546897080E-001
2.9133147597E+000  -1.3191820960E-001
2.9223095471E+000  -1.3712189900E-001
2.9312767336E+000  -1.4208656944E-001
2.9446763131E+000  -1.4767610710E-001
2.9580151942E+000  -1.5224102463E-001
2.9668744647E+000  -1.5661876023E-001
2.9757073594E+000  -1.6025761299E-001
2.9889077585E+000  -1.6343712744E-001
2.9976757311E+000  -1.6561530918E-001
3.0107798141E+000  -1.6733269435E-001
3.0238271096E+000  -1.6935034625E-001
3.0324941202E+000  -1.7089254560E-001
3.0411364305E+000  -1.7220821733E-001
3.0540540416E+000  -1.7337849745E-001
3.0669172452E+000  -1.7426823368E-001
3.0754628252E+000  -1.7491125715E-001
3.1262457979E+000  -1.7561375696E-001
3.1803457499E+000  -1.7450907267E-001
3.2335406892E+000  -1.7214331921E-001
3.2858745699E+000  -1.6768800870E-001
3.3373878991E+000  -1.6121477467E-001
3.3881181043E+000  -1.5245750357E-001
3.4419145383E+000  -1.4284868679E-001
3.4948829865E+000  -1.3361764066E-001
3.5470605421E+000  -1.2613892183E-001
3.5984816088E+000  -1.1770602338E-001
3.6491781662E+000  -1.0869499942E-001
3.7027257242E+000  -9.7381648942E-002
3.7555098574E+000  -8.5179418699E-002
3.8075623158E+000  -7.3234212809E-002
3.8589127081E+000  -6.0759423432E-002
3.9095886982E+000  -4.7088603822E-002
3.9596161795E+000  -3.2081874430E-002
4.0122913515E+000  -1.6274436407E-002
4.0642838839E+000  -9.8729853144E-004
4.1156196482E+000  1.1300372148E-002
4.1663229218E+000  1.7778263570E-002
4.2195276263E+000  2.2792652355E-002
4.2689969535E+000  2.9769476741E-002
4.3209375937E+000  3.8677155441E-002
4.3722612444E+000  4.7526062938E-002
4.4229893838E+000  5.5312821582E-002
4.4760749423E+000  6.2421671999E-002
4.5256395779E+000  6.8493878967E-002
4.5775348594E+000  7.2536513801E-002
4.6288483653E+000  7.3620593500E-002
4.6795992338E+000  7.3088501427E-002
4.7298055762E+000  7.1831096719E-002
4.7822293639E+000  6.9318296471E-002
4.8340846692E+000  6.5924290280E-002
4.8853895944E+000  6.2331435047E-002
4.9361613010E+000  5.9290715554E-002
4.9864160766E+000  5.5871490350E-002
5.0387743836E+000  5.1707772250E-002
5.0880157418E+000  4.6211986290E-002
5.1393390810E+000  4.0713800732E-002
5.1901549292E+000  3.5500626078E-002
5.2429815267E+000  2.9785769500E-002
5.2928024041E+000  2.3292755996E-002
5.3446145220E+000  1.5831774264E-002
5.3934966755E+000  7.8574736006E-003
5.4443506031E+000  -2.4422019896E-004
5.4971215822E+000  -8.7507829968E-003
5.5470255803E+000  -1.7068417157E-002
5.5988288944E+000  -2.4499033359E-002
5.6478342831E+000  -3.0601230667E-002
5.6987212854E+000  -3.5128695321E-002
5.7514399579E+000  -3.8400959651E-002
5.8014182567E+000  -4.0762277261E-002
5.8532120318E+000  -4.2368612812E-002
5.9023286328E+000  -4.2959235455E-002
5.9532445430E+000  -4.2048132924E-002
6.0037286655E+000  -4.0432470286E-002
6.0559590726E+000  -3.8376797011E-002
6.1055939587E+000  -3.5919349420E-002
6.1569602881E+000  -3.2932518033E-002
6.2057874028E+000  -2.9680776837E-002
6.2563311684E+000  -2.6768482088E-002
6.3085503239E+000  -2.3691778743E-002
6.3582772501E+000  -2.0851874297E-002
6.4096659109E+000  -1.7638122385E-002
6.4606458337E+000  -1.4445159924E-002
6.5112266194E+000  -1.1091950580E-002
6.5614174985E+000  -7.6584619286E-003
6.6112273512E+000  -3.0968348129E-003
6.6626345907E+000  1.7629372998E-003
6.7136482101E+000  5.3288679716E-003
6.7642771150E+000  8.7015500648E-003
6.8145298803E+000  7.9804852980E-003
6.8644147667E+000  1.2901896381E-002
6.9158374611E+000  1.4846364468E-002
6.9649967975E+000  1.6278519926E-002
7.0156822968E+000  1.8169133882E-002
7.0660042308E+000  1.9656704313E-002
7.1178141721E+000  2.0223252671E-002
7.1674190814E+000  1.9958027871E-002
7.2185011664E+000  1.9580281004E-002
7.2692242976E+000  1.8883352230E-002
7.3195959376E+000  1.7979895932E-002
7.3696232936E+000  1.6721743250E-002
7.4210818207E+000  1.5349305704E-002
7.4704295853E+000  1.4082281692E-002
7.5211984477E+000  1.2868710435E-002
7.5716269050E+000  1.1374303169E-002
7.6217217142E+000  9.7683098554E-003
7.6714894114E+000  8.1905136085E-003
7.7226357411E+000  6.7939893599E-003
7.7734455545E+000  5.7364628195E-003
7.8239254079E+000  3.7498757405E-003
7.8740816473E+000  1.6992996929E-003
7.9239204179E+000  -5.6461135443E-004
7.9750932840E+000  -2.1037774056E-003
8.0259398820E+000  -3.6223806452E-003
8.0764663739E+000  -5.3514338004E-003
8.1266787305E+000  -6.9285100528E-003
8.1765827391E+000  -8.6174185612E-003
8.2261840114E+000  -9.5163391960E-003
8.2770735522E+000  -1.0374449757E-002
8.3276521174E+000  -1.1789516748E-002
8.3779253392E+000  -1.0918114449E-002
8.4278986817E+000  -1.0868838199E-002
8.4791252196E+000  -1.0558989905E-002
8.5285055953E+000  -9.8859048770E-003
8.5791314239E+000  -9.3998404139E-003
8.6294602548E+000  -8.7621515519E-003
8.6810090248E+000  -7.2120858312E-003
8.7307505971E+000  -5.9413512379E-003
8.7802103784E+000  -5.2768117442E-003
8.8308792138E+000  -4.4655693730E-003
8.8812589811E+000  -3.7066497305E-003
8.9313545719E+000  -2.7012231874E-003
8.9826317407E+000  -1.7914253423E-003
9.0321650997E+000  -7.7352294152E-004
9.0828731627E+000  2.8484760023E-004
9.1332996988E+000  1.0625789399E-003
9.1834493459E+000  1.7673399113E-003
9.2333266155E+000  2.6541872162E-003
9.2843494112E+000  3.5711786657E-003
9.3350933358E+000  4.2849179726E-003
9.3841646452E+000  4.6817830359E-003
9.4343717167E+000  5.0783289471E-003
9.4856965158E+000  5.3036207338E-003
9.5353690012E+000  5.2788927483E-003
9.5861530704E+000  5.5490652621E-003
9.6366695175E+000  5.5069416677E-003
9.6855677680E+000  5.3076389244E-003
9.7369161848E+000  4.9773425474E-003
9.7866544584E+000  4.8711495586E-003
9.8374752497E+000  4.5028451410E-003
9.8880348446E+000  3.9360667939E-003
9.9370167449E+000  3.5690806723E-003
9.9883862905E+000  3.0712202359E-003
1.0038185817E+001  2.6462491810E-003
1.0089040261E+001  1.6558745810E-003
1.0138345387E+001  -6.1583736692E-004
1.0188699921E+001  -7.5275744855E-004
1.0238806815E+001  6.1181685336E-004
1.0289945043E+001  2.9959401369E-004
1.0339561301E+001  -6.9714729590E-004
1.0390203650E+001  -1.6589074343E-003
1.0440600361E+001  -2.7894245101E-003
1.0490754972E+001  -2.0083351108E-003
1.0540670941E+001  -4.4933882978E-003
1.0590351641E+001  -3.6492934571E-003
1.0641033643E+001  -3.5446681135E-003
1.0691475393E+001  -3.8964370458E-003
1.0741680278E+001  -3.8389218578E-003
1.0791651602E+001  -3.4649986728E-003
1.0842602939E+001  -3.1689207482E-003
1.0892111255E+001  -2.9831152534E-003
1.0942594838E+001  -2.8173673571E-003
1.0992846583E+001  -2.3803173101E-003
1.1042869654E+001  -2.0619986586E-003
1.1092667145E+001  -1.4354644310E-003
1.1143419748E+001  -9.2101441846E-004
1.1192769894E+001  -6.8629342013E-004
1.1244237737E+001  -5.5230466034E-004
1.1293147324E+001  -2.9088397179E-004
1.1344159770E+001  2.7158592047E-004
1.1393792178E+001  4.1223709047E-004
1.1444356015E+001  7.9436776681E-004
1.1494697429E+001  1.1389762614E-003
1.1544819331E+001  1.6064398224E-003
1.1594724567E+001  2.0232632174E-003
1.1645542808E+001  2.4036449011E-003
1.1696140252E+001  2.4660139386E-003
1.1745402555E+001  2.6882050367E-003
1.1795571656E+001  2.7132315130E-003
1.1846636033E+001  2.4946289780E-003
1.1896378222E+001  2.3650574394E-003
1.1947011735E+001  2.3990060179E-003
1.1996337728E+001  2.1330660048E-003
1.2046551103E+001  1.6725020561E-003
1.2096556042E+001  1.4852070434E-003
1.2147435441E+001  1.6033818750E-003
1.2197026785E+001  9.0699307823E-004
1.2247488807E+001  4.5335647139E-004
1.2297743768E+001  1.1399669227E-003
1.2347794195E+001  6.6661221969E-004
1.2397642566E+001  2.1700879047E-004
1.2448345512E+001  3.1683763164E-005
1.2497792833E+001  -1.0341628181E-003
1.2548091109E+001  -9.1337965916E-004
1.2598188572E+001  -1.7309421473E-003
1.2649125076E+001  -7.6118970972E-004
1.2698823961E+001  -1.3950786996E-003
1.2749358411E+001  -1.6954981046E-003
1.2798668083E+001  -1.3763672723E-003
1.2849831115E+001  -8.8655650651E-004
1.2899774013E+001  -1.1948105482E-003
1.2949524296E+001  -1.5440824153E-003
1.3000093634E+001  -1.2804246141E-003
1.3050467022E+001  -1.3652655977E-003
1.3099645010E+001  -1.0984627167E-003
1.3150634946E+001  -1.2993017131E-003
1.3200433875E+001  -1.4471117323E-003
1.3251035982E+001  -1.1453200975E-003
1.3300458999E+001  -8.1740123049E-004
1.3350681993E+001  -5.4239033800E-004
1.3400716764E+001  -8.3380018955E-004
1.3451540989E+001  -7.1491456514E-004
1.3501201987E+001  -4.3248253042E-004
1.3551649357E+001  9.5963981933E-005
1.3601909627E+001  1.8617725729E-004
1.3651984863E+001  3.5497754670E-004
1.3701877094E+001  2.5533378262E-004
1.3751588312E+001  4.3647296949E-005
1.3802071272E+001  3.3360507490E-004
1.3852370255E+001  5.2467604165E-004
1.3902487259E+001  5.7497000649E-004
1.3952424244E+001  5.0276059532E-004
1.4002183137E+001  7.5413545462E-004
1.4052699669E+001  9.8460277046E-004
1.4103035254E+001  6.6611534618E-004
1.4153191823E+001  9.2897199663E-004
1.4203171272E+001  1.2259239287E-003
1.4252975464E+001  1.3110321227E-003
1.4303523695E+001  1.0976904510E-003
1.4353893917E+001  1.0884758566E-003
1.4403176941E+001  7.2824661488E-004
1.4454107776E+001  6.5952984093E-004
1.4503955050E+001  5.3323236151E-004
1.4553631595E+001  4.2882038840E-004
1.4604037736E+001  3.6472216827E-004
1.4654270497E+001  3.2627297967E-004
1.4704331654E+001  1.5638883325E-004
1.4754222954E+001  3.0056555692E-004
1.4804832511E+001  3.7787545556E-005
1.4855269650E+001  -1.9071511861E-004
1.4904655715E+001  -2.1978896192E-004
1.4954756190E+001  -4.2066449571E-004
1.4965282286E+001  -4.9337652626E-004
